,text,verb1,verb2,verb3,verb4,verb5,verb6,time_exp1,time_exp2,time_exp3,time_exp4,time_exp5,tense
438,"By this time, he will have been working for 12 hours.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,By,this,time,for,,future perfect progressive
439,He will have been exercising for over 2 hours.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,,,,,future perfect progressive
440,In the summer Mike will have been trying to find a new job for five months.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, base form",,for,months,,,,future perfect progressive
441,"Jane will be very tired when she comes home, because she will have been flying over 24 hours.","verb, modal auxiliary","verb, base form","verb, 3rd person singular present","verb, modal auxiliary","verb, base form",,"verb, past participle","verb, gerund or present participle",,,,future perfect progressive
442,My father and I will have been breeding sheep for 20 years tomorrow.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,years,tomorrow,,,future perfect progressive
443,"By the year 2020, linguists will have been studying and defining the Indo-European language family for more than 200 years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, gerund or present participle",,By,year,for,years,,future perfect progressive
444,She won't have been writing the book for four months by the end of October.,"verb, base form","verb, past participle","verb, gerund or present participle",,,,for,months,by,,,future perfect progressive
445,Will he have been writing the composition for a month by the end of February?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,month,by,,,future perfect progressive
446,You will have been waiting for more than two hours when her plane finally arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,when,,,,future perfect progressive
447,They will have been talking for over an hour by the time Thomas arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,by,time,,,future perfect progressive
448,How long will you have been studying when you graduate?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,when,,,,,future perfect progressive
449,Ned will have had his driver's license for over two years.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,years,,,,future perfect progressive
450,You will only have been waiting for a few minutes when her plane arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,few,when,,,future perfect progressive
451,You are only going to have been waiting for a few minutes when her plane arrives.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,few,when,,,future perfect progressive
452,Jason will be tired when he gets home because he will have been jogging for over an hour.,"verb, modal auxiliary","verb, base form","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",for,,,,future perfect progressive
453,She is going to have been working at that company for three years when it finally closes.,"verb, 3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,years,when,,,future perfect progressive
454,James will have been teaching at the university for more than a year by the time he leaves for Asia.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,year,by,time,for,future perfect progressive
455,You are going to have been waiting for more than two hours when her plane finally arrives.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,when,,,,future perfect progressive
456,"At five o’clock, I will be meeting with the management about my raise.","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
457,Michael will be running a marathon this Saturday.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,this,,,,,future progressive
458,Eric will be competing against Michael in the race.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
459,I will be watching Michael and Eric race.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
460,I will be working tonight.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,tonight,,,,,future progressive
461,She will be playing at the theather this evening.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,this,evening,,,,future progressive
462,She will be playing at the theather.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
463,I will be working.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
464,This time tomorrow I will be lying on the beach.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
465,This time tomorrow I will be celebrating my birthday.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
466,This time next week I will be taking my exam.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,next,week,,future progressive
467,This time tomorrow I will be waiting at the doctor’s office.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
468,She will be giving a presentation at 4 o’clock in the afternoon.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,afternoon,,,,,future progressive
469,Tomorrow at 8 o'clock James will be cleaning the house.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,Tomorrow,,,,,future progressive
470,James will be cleaning the house all morning.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,morning,,,,,future progressive
471,I will be studying all weekend,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weekend,,,,,future progressive
472,James will be cleaning the house when I arrive.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, non-3rd person singular present",,,when,,,,,future progressive
473,She will be singing all night.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,night,,,,,future progressive
474,We will be doing business next year.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,next,year,,,,future progressive
475,He will be driving for a while.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,for,while,,,,future progressive
476,An hour from now he will be lying in a hospital.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,now,,,,,future progressive
477,At ten o'clock tonight she will be meeting her boyfriend.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,tonight,,,,,future progressive
478,He will be shouting until he gets tired.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, 3rd person singular present",,,until,,,,,future progressive
479,"When he comes, she will be waiting.","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,When,,,,,future progressive
480,She will be walking confidently when she returns.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, 3rd person singular present",,,when,,,,,future progressive
481,"Janet will be talking, and Emily will be listening to every word.","verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, modal auxiliary","verb, base form","verb, gerund or present participle",every,,,,,future progressive
482,You had been waiting there for more than two hours when she finally arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
483,You had not been waiting there for more than two hours when she finally arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
484,They had been talking for over an hour before Tony arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,before,,,,past perfect progressive
485,She had been working at that company for three years when it went out of business.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,years,when,,,past perfect progressive
486,How long had you been waiting to get on the bus?,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, base form",,,,,,,,past perfect progressive
487,Mike wanted to sit down because he had been standing all day at work.,"verb, past tense","verb, base form","verb, past tense","verb, past participle","verb, gerund or present participle",,day,,,,,past perfect progressive
488,How long had you been studying Turkish before you moved to Ankara?,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,before,,,,,past perfect progressive
489,I had not been studying Turkish very long.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,,past perfect progressive
490,Jason was tired because he had been jogging.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
491,Sam gained weight because he had been overeating.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
492,Betty failed the final test because she had not been attending class.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
493,Chef Jones had been preparing the restaurant's fantastic dinners for two years before he moved to Paris. ,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,years,before,,,past perfect progressive
494,Chef Jones had been preparing the restaurant's fantastic dinners for two years. ,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,years,,,,past perfect progressive
495,The motorcycle had belonged to George for years before Tina bought it.,"verb, past tense","verb, past participle","verb, past tense",,,,for,years,before,,,past perfect progressive
496,The motorcycle had belonged to George for years.,"verb, past tense","verb, past participle",,,,,for,years,,,,past perfect progressive
497,Ben had been working for three hours when Rachel came home.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
498,Ben had been working for three hours.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
499,"By the time Sam found an umbrella, it had been raining for ten minutes.","verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,By,time,for,,,past perfect progressive
500,it had been raining for ten minutes.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
501,"By the time Catherine got to the office, the client had been waiting for an hour.","verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,By,time,for,,,past perfect progressive
502,The client had been waiting for an hour.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
503,I had been feeding the dogs when I tripped and fell.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense","verb, past tense",,when,,,,,past perfect progressive
504,"He hadn’t been feeling well, so I sent him away.","verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,so,,,,,past perfect progressive
505,He hadn’t been feeling well.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,,past perfect progressive
506,Simon had not been expecting a positive answer when he got a job.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,when,,,,,past perfect progressive
507,Simon had not been expecting a positive answer.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,,past perfect progressive
508,The hikers hadn’t been walking long before they got lost.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense","verb, past participle",,before,,,,,past perfect progressive
509,Mrs Smith has been picking strawberries for two hours.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,,,,,present perfect progressive
510,He has been playing Rugby with is friends.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,,,,,,,present perfect progressive
511,He has been playing Rugby with is friends all day long.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,,day,,,,,present perfect progressive
512,John has been feeling sick all afternoon.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,afternoon,,,,,present perfect progressive
513,John has been feeling sick all weekend.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,weekend,,,,,present perfect progressive
514,She has been working with us for ten years.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,years,,,,present perfect progressive
515,She has been studying to become a lawyer for five years.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle","verb, base form",,,for,years,,,,present perfect progressive
516,They have been living here since 1999.,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,since,,,,,present perfect progressive
517,I have not talked to Simon since last Monday.,"verb, non-3rd person singular present","verb, past participle",,,,,since,last,,,,present perfect progressive
518,We have known Mr and Mrs Bean for twenty years.,"verb, non-3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect progressive
519,I have not seen Chloe for a long time.,"verb, non-3rd person singular present","verb, past participle",,,,,for,time,,,,present perfect progressive
520,Mr and Mrs Bean have been married since August last year.,"verb, non-3rd person singular present","verb, past participle","verb, past participle",,,,since,last,year,,,present perfect progressive
521,I have not talked to Simon since last Monday.,"verb, non-3rd person singular present","verb, past participle",,,,,since,last,,,,present perfect progressive
522,He has been going out a lot lately with is friends.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,,lately,,,,,present perfect progressive
523,Sarah has been going out a lot recently with her new boyfriend.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,recently,,,,,present perfect progressive
524,"Since we moved to Manchester, we have been much happier.","verb, past tense","verb, non-3rd person singular present","verb, past participle",,,,Since,,,,,present perfect progressive
525,Have you been waiting for a long time?,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,time,,,,present perfect progressive
526,You are late! We have sat here waiting for you for you since one o'clock.,"verb, non-3rd person singular present","verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,for,for,since,,,present perfect progressive
527,Mr Smith hasn't bought a new car for ten years.,"verb, 3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect progressive
528,Mrs Jones has been on the telephone for many hours!,"verb, 3rd person singular present","verb, past participle",,,,,for,,,,,present perfect progressive
529,I have known Mr Bean since 1999 he is my best friend.,"verb, non-3rd person singular present","verb, past participle","verb, 3rd person singular present",,,,since,,,,,present perfect progressive
530,Mr Bean has been my best friend for many years.,"verb, 3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect progressive
531,John has lived in this City since he was born.,"verb, 3rd person singular present","verb, past participle","verb, past tense","verb, past participle",,,this,since,,,,present perfect progressive
532,It has been snowing for hours.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,,,,,present perfect progressive
533,My mother has been the working at this firm for twenty years.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,this,for,years,,,present perfect progressive
534,The football player will have signed the contract by the beginning of July.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
535,"Before they come, we will have cleaned up the house.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,Before,,,,,future perfect
536,"John will have eaten the whole cake, by the time the birthday party starts!","verb, modal auxiliary","verb, base form","verb, past participle","verb, 3rd person singular present",,,by,time,,,,future perfect
537,I will have been in Denver for exactly forty years by 2012.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,years,by,,,future perfect
538,Jane will have worked as a doctor for fifteen years by the end of this month.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,as,for,years,by,this,future perfect
539,"By the next year, I will have known Monica for 30 years.","verb, modal auxiliary","verb, base form","verb, past participle",,,,By,next,year,for,years,future perfect
540,The train will have left by now.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,now,,,,future perfect
541,The guests will have arrived at the hotel by now. ,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,now,,,,future perfect
542,"The plane will have taken off by now, so don’t rush to the airport.","verb, modal auxiliary","verb, base form","verb, past participle","verb, base form",,,by,now,so,,,future perfect
543,She will not have finished.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
544,I will have retired by the end of this year.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,this,year,,,future perfect
545,"If I keep up the pace, I will have read the book by Tuesday.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,by,,,,,future perfect
546,My uncle won't have retired by the end of the year.,"verb, base form","verb, past participle",,,,,by,year,,,,future perfect
547,MThey won't have graduated from from Cambridge by July 2009.,"verb, base form","verb, past participle",,,,,by,,,,,future perfect
548,"If all goes well, by June 2012, I will have finished my university degree.","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,by,,,,,future perfect
549,Will she have gotten her passport by then?,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
550,Won’t you have sent the documents by Thursday?,"verb, non-3rd person singular present","verb, past participle",,,,,by,,,,,future perfect
551,"By the time you get here, we will have been building the house for a year.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,By,time,for,year,,future perfect
552,"By 2008, Adam will have been selling sports equipment for 10 years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,By,for,years,,,future perfect
553,He was writing an e-mail when the phone rang.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
554,I was preparing dinner while Melanie was working upstairs.,"verb, past tense","verb, gerund or present participle","verb, past tense","verb, gerund or present participle",,,while,,,,,past progressive
555,I wasn’t sleeping when you came home last night.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,last,night,,,past progressive
556,"When Ms. Foster came in, the girls weren’t studying.","verb, past tense","verb, past tense","verb, gerund or present participle",,,,When,,,,,past progressive
557,Sam wasn’t lying when he said he loved you.,"verb, past tense","verb, gerund or present participle","verb, past tense","verb, past tense",,,when,,,,,past progressive
558,Was I talking to you?,"verb, past tense","verb, gerund or present participle",,,,,,,,,,past progressive
559,Were you writing the report when the electricity went off?,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
560,"When you came home, was he singing in the shower?","verb, past tense","verb, past tense","verb, gerund or present participle",,,,When,,,,,past progressive
561,Wasn’t Tom sitting in the cafe when you drove past?,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,past,,,,past progressive
562,I was watching TV when she called.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
563,"When the phone rang, she was writing a letter.","verb, past tense","verb, gerund or present participle",,,,,When,,,,,past progressive
564,"While John was sleeping last night, someone stole his car.","verb, past tense","verb, gerund or present participle","verb, past tense",,,,While,last,night,,,past progressive
565,"While we were having the picnic, it started to rain.","verb, past tense","verb, gerund or present participle","verb, past tense","verb, base form",,,While,,,,,past progressive
566,"While I was writing the email, the computer suddenly went off.","verb, past tense","verb, gerund or present participle","verb, past tense",,,,While,,,,,past progressive
567,"Last night at 6 PM, I was eating dinner.","verb, past tense","verb, gerund or present participle",,,,,Last,night,,,,past progressive
568,"At midnight, we were still driving through the desert.","verb, past tense","verb, gerund or present participle",,,,,,,,,,past progressive
569,"Yesterday at this time, I was sitting at my desk at work. ","verb, past tense","verb, gerund or present participle",,,,,Yesterday,this,time,,,past progressive
570,She was always coming to class late.,"verb, past tense","verb, gerund or present participle",,,,,always,,,,,past progressive
571,He was constantly talking. ,"verb, past tense","verb, gerund or present participle",,,,,constantly,,,,,past progressive
572,I didn't like them because they were always complaining.,"verb, past tense","verb, base form","verb, past tense","verb, gerund or present participle",,,always,,,,,past progressive
573,I was studying when she called.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
574,"While I was studying, she called.","verb, past tense","verb, gerund or present participle","verb, past tense",,,,While,,,,,past progressive
575,My breakfast will have been ready.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
576,Margaret will have married Jerome by then.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
577,The storm will have raged by the time we arrive.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, non-3rd person singular present",,,by,time,,,,future perfect
578,Mom will have cooked our favorite meal.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
579,I will have slept eight hours.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
580,The plant will have grown by then.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
581,Henry will have ran by ten o'clock. ,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
582,Will you have married Jerome by then? ,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
583,Will Mom have cooked our favorite meal? ,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,future perfect
584,Will the plant have grown by then?,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
585,I will not have eaten by then.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
586,Henry will not have ran by ten o'clock. ,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
587,Jenny will not have saved enough money yet.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,yet,,,,,future perfect
588,I will have finished this book.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,this,,,,,future perfect
589,You will have studied the English tenses.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
590,She will have cooked dinner.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
591,He will have completed his project by Saturday.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
592,"By the time he graduates, he will have completed five years of study.","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,By,time,years,,,future perfect
593,The snow will have stopped by April.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
594,We will have returned home by five o'clock.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
595,"By tomorrow, their life will have changed completely.","verb, modal auxiliary","verb, base form","verb, past participle",,,,By,tomorrow,,,,future perfect
596,"So by the time we get back, we will have rested and relaxed.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,So,by,time,,,future perfect
597,Her heel will have fully healed by the summer.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
598,"By next month, you will have received your promotion.","verb, modal auxiliary","verb, base form","verb, past participle",,,,By,next,month,,,future perfect
599,"By the time he wakes up, we will have prepared lunch for everyone.","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle",,,By,time,for,,,future perfect
600,Next Monday we will have been married for ten years.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, past participle",,,Next,for,years,,,future perfect
601,Tomorrow Justin will have been single for a whole week.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,Tomorrow,for,week,,,future perfect
602,In September I will have lived here for eight years.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,years,,,,future perfect
603,Luke will have been sick for two weeks tomorrow.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,weeks,tomorrow,,,future perfect
604,Next week you will have had this car for twenty five years!,"verb, modal auxiliary","verb, base form","verb, past participle",NaN,NaN,NaN,Next,week,this,for,years,future perfect
